iso3,kp,mean
AGO,FSW,0.02043877683054712
AGO,MSM,0.0115960513772173
AGO,PWID,0.01610037661627118
BWA,FSW,0.2462831340964604
BWA,MSM,0.14857268637709745
BWA,PWID,0.19670154637795056
SWZ,FSW,0.3387979020435477
SWZ,MSM,0.17413381061566235
SWZ,PWID,0.25797710802917384
ETH,FSW,0.01162967821231781
ETH,MSM,0.00613055634614971
ETH,PWID,0.00886390289908309
KEN,FSW,0.0529433643383452
KEN,MSM,0.0268701535195041
KEN,PWID,0.0400584079256612
LSO,FSW,0.2217462781570755
LSO,MSM,0.15094556545441742
LSO,PWID,0.18668490111009975
MWI,FSW,0.0951746699264853
MWI,MSM,0.05156802782895321
MWI,PWID,0.07442742600975988
MOZ,FSW,0.1412849586526846
MOZ,MSM,0.0816881244177597
MOZ,PWID,0.11177254131152375
"NAM",FSW,0.14308515248587922
"NAM",MSM,0.07902964463029392
"NAM",PWID,0.11164635678503808
RWA,FSW,0.02717666113257831
RWA,MSM,0.01506819227802135
RWA,PWID,0.02127883772144678
ZAF,FSW,0.24430902116558412
ZAF,MSM,0.12655520447838334
ZAF,PWID,0.1855678259051947
UGA,FSW,0.0646079198179593
UGA,MSM,0.0366387771163239
UGA,PWID,0.05092160931949522
TZA,FSW,0.05743101052283402
TZA,MSM,0.03239153009412513
TZA,PWID,0.04489045689661539
ZMB,FSW,0.131908708177728
ZMB,MSM,0.0733846199655589
ZMB,PWID,0.10292997494653
ZWE,FSW,0.13298247095125468
ZWE,MSM,0.08635313595798072
ZWE,PWID,0.10996200029577684
BEN,FSW,0.01176038680349506
BEN,MSM,0.00578158525507748
BEN,PWID,0.00876560222575902
BFA,FSW,0.00715410174183228
BFA,MSM,0.00511540867138197
BFA,PWID,0.00612940609749049
BDI,FSW,0.01126273577951232
BDI,MSM,0.00758984185676906
BDI,PWID,0.00944091306980086
CMR,FSW,0.0345923090158372
CMR,MSM,0.01686353943595128
CMR,PWID,0.02570942709461208
CAF,FSW,0.03320160549691024
CAF,MSM,0.02112418055059785
CAF,PWID,0.02716662826559808
TCD,FSW,0.0077031593598057
TCD,MSM,0.00799131560718577
TCD,PWID,0.00786549219637123
COG,FSW,0.04700580585894238
COG,MSM,0.01848364735282291
COG,PWID,0.03268505019960149
CIV,FSW,0.02310527906109545
CIV,MSM,0.01103206389802021
CIV,PWID,0.01707346268798731
COD,FSW,0.00475991971028354
COD,MSM,0.00449445480280737
COD,PWID,0.00462659464521698
GNQ,FSW,0.09794485601933477
GNQ,MSM,0.05568308291430191
GNQ,PWID,0.07286627130084601
GAB,FSW,0.03968635581427703
GAB,MSM,0.01518140682302532
GAB,PWID,0.02706160355544382
GMB,FSW,0.02031728913569021
GMB,MSM,0.01326657150821696
GMB,PWID,0.01685453538154142
GHA,FSW,0.01441410061023678
GHA,MSM,0.01005621248011428
GHA,PWID,0.01226271662975755
GIN,FSW,0.01098634879881219
GIN,MSM,0.00888852673960685
GIN,PWID,0.00997813428963327
GNB,FSW,0.03757409953497375
GNB,MSM,0.01974663725611585
GNB,PWID,0.02884707412376083
LBR,FSW,0.01381516706349651
LBR,MSM,0.00810374884967319
LBR,PWID,0.01093804041535875
MLI,FSW,0.0097937311260766
MLI,MSM,0.00626454782937055
MLI,PWID,0.00802576534676318
NER,FSW,0.00216583518171701
NER,MSM,0.00147518078054039
NER,PWID,0.00182095594566961
NGA,FSW,0.01458697724805859
NGA,MSM,0.00801103884117915
NGA,PWID,0.01122229523423444
SEN,FSW,0.00343959160238649
SEN,MSM,0.00254727002957547
SEN,PWID,0.0030065808075913
SLE,FSW,0.013656347003133699
SLE,MSM,0.00932719602016498
SLE,PWID,0.01148125304619972
TGO,FSW,0.0051505713613752
TGO,MSM,0.01265897269364511
TGO,PWID,0.00896443383683224
