"","iso3","area_name","kp","lower","median","upper"
"1","AGO","Angola","FSW",0.0113863614438951,0.0250305846680181,0.0531991561411113
"2","BDI","Burundi","FSW",0.00669685264159487,0.0177542569857481,0.0456243474852197
"3","BEN","Benin","FSW",0.0036281328162921,0.00780279989306929,0.0174625939543604
"4","BFA","Burkina Faso","FSW",0.00377730757297825,0.00717239537590023,0.0163687055369411
"5","BWA","Botswana","FSW",0.0106149883250375,0.0291534357793877,0.0731177404318734
"6","CAF","Central African Republic","FSW",0.00377221522680822,0.018264314873884,0.0803615486184899
"7","CIV","Côte d’Ivoire","FSW",0.00389024781853197,0.00658942482979214,0.0117457897194183
"8","CMR","Cameroon","FSW",0.010266771148047,0.016278760879392,0.0253914550731452
"9","COD","Congo - Kinshasa","FSW",0.00707320303085954,0.0146279815627234,0.0318141741412669
"10","COG","Congo - Brazzaville","FSW",0.0285610394413626,0.0489722371263488,0.0820570196965264
"11","ETH","Ethiopia","FSW",0.00292075296202284,0.00504426061517549,0.00826978051936441
"12","GAB","Gabon","FSW",0.00415650696828888,0.0267034844656986,0.152361857219165
"13","GHA","Ghana","FSW",0.00249740501714294,0.0036618718862604,0.00551239602980335
"14","GIN","Guinea","FSW",0.00177203931686101,0.00278403318800396,0.0046135736626858
"15","GMB","Gambia","FSW",0.000925510831169162,0.0064696033861428,0.0421225275221491
"16","GNB","Guinea-Bissau","FSW",0.000504344288312686,0.0039889617146537,0.0334788083210314
"17","GNQ","Equatorial Guinea","FSW",0.00214395563087816,0.0213590516304349,0.190296869707755
"18","KEN","Kenya","FSW",0.00966433198059104,0.0125140996302375,0.0160287747312051
"19","LBR","Liberia","FSW",0.000640219182058665,0.00383130384501397,0.0252640565972163
"20","LSO","Lesotho","FSW",0.00472941882996034,0.0169389573931343,0.0630517539721727
"21","MLI","Mali","FSW",0.00369494886888725,0.00635338223978561,0.0112600497071093
"22","MOZ","Mozambique","FSW",0.00313224450446035,0.0111854174506781,0.0419168353891535
"23","MWI","Malawi","FSW",0.00378610919661288,0.0048436108866923,0.0061765839692635
"24","NAM","Namibia","FSW",0.0179146439639697,0.0402331602083484,0.0863759826127902
"25","NER","Niger","FSW",0.00138151602094251,0.00214525696191035,0.0032069881852943
"26","NGA","Nigeria","FSW",0.0118369388676925,0.0144400900676627,0.0177056936087191
"27","RWA","Rwanda","FSW",0.00203217135852945,0.00555831192392623,0.0145237776426639
"28","SEN","Senegal","FSW",0.00271470521063298,0.00671438695880987,0.0171141774217939
"29","SLE","Sierra Leone","FSW",0.000253174691899088,0.00336064967776201,0.0295535364086369
"30","SSD","South Sudan","FSW",0.00101522401564206,0.0101251682768537,0.1095444462778
"31","SWZ","Eswatini","FSW",0.0120590098316751,0.0247483789053309,0.0508764360994348
"32","TCD","Chad","FSW",0.00196498405141474,0.00964469189668771,0.0425264659566947
"33","TGO","Togo","FSW",0.00378440060703861,0.00843451768740333,0.0189467579295472
"34","TZA","Tanzania","FSW",0.00509465896906067,0.0102374394738936,0.0202794668805931
"35","UGA","Uganda","FSW",0.00589324291413905,0.00736759883721435,0.00914997519006917
"36","ZAF","South Africa","FSW",0.00286235502798462,0.00500796625161696,0.00898262241925556
"37","ZMB","Zambia","FSW",0.0112683862943921,0.016910586999905,0.0259209800772337
"38","ZWE","Zimbabwe","FSW",0.00957673788795593,0.0189602307084522,0.0355399791254375
"39","AGO","Angola","MSM",0.0038736119734823,0.00839017779613473,0.0188587826431973
"40","BDI","Burundi","MSM",0.00250586716181329,0.00583674679689826,0.0146532389380719
"41","BEN","Benin","MSM",0.00071824506231309,0.00118311212729219,0.00194875201551275
"42","BFA","Burkina Faso","MSM",0.00131485235251979,0.00297116507199789,0.00650918396190891
"43","BWA","Botswana","MSM",0.00526065846966103,0.0094888092914064,0.0180662508663823
"44","CAF","Central African Republic","MSM",0.00118141804355266,0.00451652349752069,0.019245134314224
"45","CIV","Côte d’Ivoire","MSM",0.00279261072855475,0.00411564785317514,0.0060423441810481
"46","CMR","Cameroon","MSM",0.00301988232135662,0.00488458358113761,0.00775900749511496
"47","COD","Congo - Kinshasa","MSM",0.00263360368010434,0.00556356546704885,0.0115017096429605
"48","COG","Congo - Brazzaville","MSM",0.00140096216734274,0.00410333481728762,0.0112943904063987
"49","ETH","Ethiopia","MSM",0.000127144181980034,0.00210579130946132,0.0311598660820135
"50","GAB","Gabon","MSM",0.000657079830346532,0.00464454733090376,0.029206205035619
"51","GHA","Ghana","MSM",0.00524820510738234,0.00989481831726611,0.0194154662464072
"52","GIN","Guinea","MSM",0.000366394327950526,0.000548283130076799,0.000807430361644275
"53","GMB","Gambia","MSM",0.000197068432880228,0.00310900507897238,0.0475787915982501
"54","GNB","Guinea-Bissau","MSM",0.000196856847069798,0.00126977616224505,0.00938102831433629
"55","GNQ","Equatorial Guinea","MSM",0.000775077667519812,0.00447580195810696,0.042068605601962
"56","KEN","Kenya","MSM",0.00161715940729637,0.00202729558896011,0.00254169552250122
"57","LBR","Liberia","MSM",0.000198507241585781,0.00122895042237927,0.00672393453916155
"58","LSO","Lesotho","MSM",0.00898692675123767,0.0299039069716199,0.101718630712988
"59","MLI","Mali","MSM",0.0014013117951379,0.00224546172550778,0.00376468221444098
"60","MOZ","Mozambique","MSM",0.00259460143608695,0.00768051365374251,0.0249540469045716
"61","MWI","Malawi","MSM",0.00162064722506495,0.00305003090008824,0.00567237244821214
"62","NAM","Namibia","MSM",0.0117029791665203,0.0252355441076736,0.0584750424651397
"63","NER","Niger","MSM",0.00172224735253447,0.00307188480830708,0.00558594276100146
"64","NGA","Nigeria","MSM",0.00229625584121483,0.00359047813990387,0.00520354540470138
"65","RWA","Rwanda","MSM",0.00135923848194552,0.00534238993415945,0.0239474660864214
"66","SEN","Senegal","MSM",0.00145249213736945,0.00319615365386936,0.00689037566605532
"67","SLE","Sierra Leone","MSM",8.82147427296703e-05,0.000826563308507255,0.0069901479384671
"68","SSD","South Sudan","MSM",0.000473206007721121,0.00438025020388561,0.039125276835554
"69","SWZ","Eswatini","MSM",0.00776456977360171,0.0190665239082317,0.044976173344198
"70","TCD","Chad","MSM",0.0010024458152057,0.00401379804874485,0.0164799896837874
"71","TGO","Togo","MSM",0.00209531832104172,0.00458199343423965,0.010014598513467
"72","TZA","Tanzania","MSM",0.0022427909333024,0.00540652671418919,0.013378128602883
"73","UGA","Uganda","MSM",0.00381314326914094,0.00479250336408282,0.00592592077541971
"74","ZAF","South Africa","MSM",0.00655371512812691,0.0119010849112452,0.0206617137841243
"75","ZMB","Zambia","MSM",0.0039606742775918,0.00750830433563498,0.0145883634461638
"76","ZWE","Zimbabwe","MSM",0.00519118205308676,0.0103588543787904,0.0200334264053229
"77","AGO","Angola","PWID",0.000115583796877366,0.000531257482008809,0.00250129016355034
"78","BDI","Burundi","PWID",4.88481300515006e-05,0.000262001992211429,0.00141256332837918
"79","BEN","Benin","PWID",0.000101701775319936,0.000359080841028411,0.00106677132106834
"80","BFA","Burkina Faso","PWID",0.00017972006318095,0.000630094077896606,0.00226462897318094
"81","BWA","Botswana","PWID",0.000129874247166884,0.000540995313882728,0.00331417255347375
"82","CAF","Central African Republic","PWID",0.000124511940622888,0.000554831049115057,0.00297185646119431
"83","CIV","Côte d’Ivoire","PWID",0.000209708889335304,0.000539545762729944,0.00130953550600744
"84","CMR","Cameroon","PWID",0.000278592440274448,0.000572374280009569,0.00126057632990542
"85","COD","Congo - Kinshasa","PWID",0.000186278925772162,0.000419199994526331,0.00106452761092246
"86","COG","Congo - Brazzaville","PWID",0.000154595589672869,0.000468004086696221,0.00149275735079336
"87","ETH","Ethiopia","PWID",6.77019757189694e-05,0.000383252767673097,0.0018083740187509
"88","GAB","Gabon","PWID",8.9715906552621e-05,0.000522582054459732,0.00329566966878787
"89","GHA","Ghana","PWID",0.000172224492504329,0.000720083991926664,0.00324849362576161
"90","GIN","Guinea","PWID",0.00018631758428574,0.000712837909258784,0.00270622718150423
"91","GMB","Gambia","PWID",3.90756373611353e-05,0.000665843532288987,0.0109737513322681
"92","GNB","Guinea-Bissau","PWID",7.31350752608525e-05,0.000652755982358405,0.00510390312577153
"93","GNQ","Equatorial Guinea","PWID",7.20890097407409e-05,0.000571476064467374,0.0048768498873381
"94","KEN","Kenya","PWID",0.000498348529306288,0.000663997837600351,0.000936584330487592
"95","LBR","Liberia","PWID",9.60831033518671e-05,0.000630615195409198,0.0046052092262897
"96","LSO","Lesotho","PWID",3.37644922775177e-05,0.000493244166731683,0.00810207693740234
"97","MLI","Mali","PWID",0.00025240719117439,0.00076326510179427,0.00245106051214522
"98","MOZ","Mozambique","PWID",0.000101638546732253,0.000375783054630331,0.00152197830182387
"99","MWI","Malawi","PWID",5.46144330726946e-05,0.000308397109395183,0.00173328361286018
"100","NAM","Namibia","PWID",0.000127618330830041,0.000552637314487941,0.00261442623942202
"101","NER","Niger","PWID",0.000199065887556971,0.00073223598015937,0.00303164566606872
"102","NGA","Nigeria","PWID",0.000990825546179085,0.0015778215644512,0.00252854747992793
"103","RWA","Rwanda","PWID",7.80062937758439e-05,0.00032375780675536,0.00140871163970694
"104","SEN","Senegal","PWID",0.000157580851971909,0.000635531901609908,0.00206286552447623
"105","SLE","Sierra Leone","PWID",7.65577407379562e-05,0.000664431265541686,0.0072832932603973
"106","SSD","South Sudan","PWID",5.46159652701678e-05,0.000561675527883757,0.00577608858912413
"107","SWZ","Eswatini","PWID",5.14239590350961e-05,0.000452936990842054,0.00336800831028046
"108","TCD","Chad","PWID",0.000171887428482978,0.000766626074400735,0.00305780083377258
"109","TGO","Togo","PWID",0.000172363225925686,0.000709155682701407,0.00318416692899996
"110","TZA","Tanzania","PWID",7.13321964428766e-05,0.000113807365472912,0.000183384679922283
"111","UGA","Uganda","PWID",0.000788477247841017,0.0010092726266564,0.00134596363919301
"112","ZAF","South Africa","PWID",0.000230242497871658,0.000513134816139038,0.00115799877325002
"113","ZMB","Zambia","PWID",0.000292380818683566,0.000681953375829064,0.00177886350775553
"114","ZWE","Zimbabwe","PWID",0.000127774656481495,0.000540908973602928,0.00235880581380534
